,date,content
107,2022-10-19 17:34:23+00:00,ये है माननीय मुख्यमंत्री जी श्री अरविंद केजरीवाल जी का दिल्ली मॉडल….अब हमारी दिल्ली बिलकुल लंदन जेसी लग रही है।ये इलाका राजेन्द्र नगर विधान सभा के दशघरा होली चौक़ मैं आता है।। यहाँ न तो कोई गली बनाने अता है ना सीवर खोलने। @ArvindKejriwal @ipathak25 @raghav_chadha @BJP4India https://t.co/GdX2CqMw2v
108,2022-10-19 17:34:13+00:00,@ghaziabadpolice @GopalBubna1 @uppwdofficial @Gen_VKSingh @sunilsharma_bjp @ChiefSecyUP @AMRUTCityGzb @dm_ghaziabad श्रीमान जी कार्रवाई हेतु सम्बंधित को अवगत करा दिया गया है।
109,2022-10-19 17:33:36+00:00,@Change_india_ @_SandeepDikshit Isko abhi thik thak offer nahin mila hai...jayega BJP mein hi!
110,2022-10-19 17:33:12+00:00,@BJP4India @narendramodi दूसरा  इंजन बेकार है क्या
111,2022-10-19 17:31:47+00:00,@UmeshGautamBJP @myogiadityanath @BJP4UP @BJP4India V. NICE 🌹🙏🌹
112,2022-10-19 17:31:43+00:00,@idineshdesai BJP ka to Tournament hua tha President ke liye! Hai na?
113,2022-10-19 17:31:33+00:00,"आपियों ने कहा था कि वीआईपी कल्चर खत्म करेंगे और जिसकी आप बात कर रहे हैं उसे सत्ता में लाने के लिये अन्ना आंदोलन का षड़यंत्र आप की पार्टी के नेताओं चलाया था।
AAP=BJP https://t.co/SpEVBa7B6g https://t.co/tkufdP7ygk"
114,2022-10-19 17:31:02+00:00,"दिल्ली के 2 शेर । 
@TajinderBagga @p_sahibsingh 

@BJP4India @BJP4Delhi https://t.co/5oXaN7enOF"
115,2022-10-19 17:30:39+00:00,@@BJP4India ये एक नमूना आ गया है। https://t.co/EEXtCueYhG
116,2022-10-19 17:30:34+00:00,@KapilMishra_IND ye BJP ke vidhayak ji hai jara suniye inki baatein ….@ShahnawazBJP https://t.co/rjFK5jrBgl
117,2022-10-19 17:30:04+00:00,@AMISHDEVGAN Tu BJP ka paltu hi rahega ya desh hit  me kabhi patrakarita karega
118,2022-10-19 17:29:45+00:00,@BJP4Delhi AAP V/S BJP lage raho....
119,2022-10-19 17:29:24+00:00,"@Dr_Uditraj @INCIndia Aap ek MP thae jub bjp may thae or aaj aap kyaa ho ,"
120,2022-10-19 17:29:21+00:00,@sunilbharala @sunilbansalbjp @BJP4India @BJP4UP @myogiadityanath @AmitShah @drdineshbjp @blsanthosh @narendramodi @dpradhanbjp पंडित सुनील भराला जिन्दाबाद जिंदाबाद
121,2022-10-19 17:29:10+00:00,@BJP4India @narendramodi अभी  5G आया नहीं क्या? उद्घाटन तो हो गया
122,2022-10-19 17:28:32+00:00,@GopalBubna1 @uppwdofficial @Gen_VKSingh @sunilsharma_bjp @ChiefSecyUP @AMRUTCityGzb @dm_ghaziabad @Gzbtrafficpol kindly look into it.
123,2022-10-19 17:28:15+00:00,"@tejpals38944336 मेश्राम तो ब्राह्मण को विदेशी और sc/st/obs को मूलनिवासी कहते हैं। bjp, congress ब्राह्मणों की पार्टी है और सरकार rss के लोग चला रहे हैं जिसमें ब्राह्मणों का वर्चस्व है। वो तो कहते हैं हम भारत में विदेशी ब्राह्मणों की गुलामी से आजादी का आंदोलन चलाएंगे और मायावती उसमें रुकावट है!"
